4imp;-1
4a32;-1
2uvn;-1
2z52;-1
3jx6;0
4rel;-1
2hvd;-1
4usr;15
2e48;-1
2o3z;-1
3td8;1
4ahu;2
4gv7;-1
1j3j;-1
2ele;3
1tkg;-1
2xyj;20
4qg0;-1
2qp3;-1
2iby;-1
2fbw;-1
4i1n;-1
3ael;-1
3g4i;-1
2hn9;-1
4mxy;6
3kh5;-1
2hch;-1
4azw;-1
4ock;6
3oag;-1
2wi4;4
1p4m;-1
3b0x;-1
4zvl;5
3ojw;-1
2xj9;-1
2y1x;-1
1nj6;-1
3sn6;-1
1d7r;-1
4eny;6
2v92;-1
3tky;-1
5ajq;6
1i9h;-1
1g17;-1
2a2s;7
2r3m;6
4wvd;-1
4c58;6
2gh6;-1
3w3d;-1
3t7v;8
4jlp;-1
1f92;9
3p3z;10
3k1j;-1
1swn;-1
1xf0;8
1rf9;10
3c9r;-1
3cgd;24
1kt8;-1
3f6r;-1
4rp8;-1
3orn;6
4iql;-1
4k3n;-1
2r0u;6
3qd3;6
4psg;-1
1dub;-1
4aub;-1
4abz;-1
4cer;2
2p6k;3
3hdm;6
4xd1;-1
1s4e;-1
4l7v;11
2jiz;-1
4fsu;6
2c3i;6
2xan;-1
2fav;-1
1ee1;-1
2e0n;3
1bx6;6
4raw;-1
2wqe;6
4eqe;-1
1npv;12
3s7d;-1
3rvi;13
3rl4;-1
3cgb;24
2hry;-1
1o6q;-1
1wl4;-1
5jr3;-1
3pit;11
3hxc;-1
4rlh;14
3tsk;-1
2wpa;25
4xsr;-1
5hes;6
3cnj;19
4o8f;20
4kw5;-1
3f0a;-1
3i58;-1
2qry;-1
1gij;6
4ivc;6
1az1;8
4wso;-1
2q36;26
5dq8;-1
4ixc;26
3lix;12
3n9y;-1
3i4b;-1
1z4i;-1
4gqk;-1
1pwm;8
2cn8;6
2zzc;-1
3qlz;-1
1std;-1
3mau;-1
3sxi;15
3t64;-1
4gyi;6
3ova;-1
4eh6;6
5il1;-1
3uqd;-1
1hk4;-1
2zlc;16
4hfr;-1
4b5o;-1
2psw;-1
1rsz;-1
3gur;-1
3c06;-1
2wd7;14
1xk9;-1
2bwg;-1
2yfl;-1
4mpp;-1
3w8r;-1
1rjk;16
3k2x;-1
3p0f;-1
1udc;11
3chs;-1
5k2b;-1
1uho;-1
4eh9;6
2iw1;-1
1rl4;-1
4ug5;-1
2ws7;-1
4rbs;-1
3gi4;12
2olo;19
4xo7;-1
1qlt;-1
1g4t;8
1rev;17
4k13;18
3kds;-1
4acc;-1
4acm;6
4xhg;6
3ai2;-1
2eat;-1
2ylt;15
2itn;6
3r95;-1
1ha2;-1
3h6f;-1
1f8g;-1
4b65;15
3ipu;20
4gi2;-1
3rfm;-1
2qdx;11
4zu4;-1
1izi;12
3ras;-1
2q0l;-1
4qij;-1
4ec0;7
4ikz;-1
3pm0;10
3w1t;-1
3own;-1
4pki;-1
3cmp;-1
4tlz;-1
1yak;-1
4oqy;-1
5adh;-1
4djp;12
1upj;-1
4zfn;-1
2h39;-1
2vax;-1
2hay;-1
2qwq;26
3hvt;17
1yqs;-1
5l7i;-1
2f1k;-1
1t4c;-1
1uml;8
3mv5;6
1n2s;11
4i9q;-1
4j1i;13
1zy8;-1
3hzl;19
2c3d;24
1icu;-1
3lzx;-1
4opt;19
3qkd;-1
1vyw;25
3nln;0
1jx1;-1
3mkn;-1
1ayl;-1
2ra6;-1
2xfn;-1
4i8p;-1
3ffk;-1
3crl;-1
2ohv;-1
3lfe;6
3q1k;-1
1tys;-1
1pxo;6
1ryw;-1
1uak;-1
1axw;-1
4ldj;11
3wiy;-1
2wl9;-1
3pvt;-1
3p23;-1
1qpe;6
2c12;-1
3zhu;-1
3acj;6
3b3p;0
1yf8;-1
1qu2;-1
1pjc;11
1f3p;15
3c16;-1
1qqb;-1
1zzq;0
3ce3;6
2x60;-1
2xpc;-1
3wqt;-1
3vf6;26
3r4b;12
5dju;-1
2b8t;-1
2vvl;-1
1pxx;-1
4uak;6
3a7j;6
4r20;-1
1lvl;15
4rxs;-1
1kw0;-1
5ein;-1
2xs3;-1
3nmh;-1
1gl3;-1
3bx5;6
4gqe;0
3o2x;-1
3i5u;-1
4k6m;-1
3k1o;10
3kdu;20
3syi;15
1j7u;-1
3h23;-1
4qai;-1
3nlp;0
4lrz;-1
2gpv;-1
4hsu;-1
2ien;12
3cyx;12
4m6p;-1
1zap;13
1zyj;6
4utl;8
3ok9;12
4ph9;-1
2cl6;11
1g1a;-1
4ia3;16
1wwz;-1
2qju;-1
4r43;-1
4ke0;-1
1dia;-1
2wer;-1
2i7p;-1
4nqm;-1
1u2r;-1
4b63;15
3mgd;-1
3w4k;-1
3g5i;-1
2uz3;-1
3p0z;-1
4a81;-1
1u5a;11
3pvc;-1
2fre;-1
1v9a;3
4a4z;-1
5d7p;-1
1iin;-1
1yyr;-1
1i0s;-1
1g2k;12
4y6g;-1
1mjh;-1
4afe;6
4ntc;-1
2gtn;6
2z6r;3
3f8d;-1
4kb8;-1
5cvf;6
2nvb;-1
1e82;13
4ft9;6
2jae;-1
2vhq;-1
3iny;-1
2pz5;6
4nd4;-1
2e91;-1
3ukr;-1
4hbm;-1
1hwr;12
4bdo;-1
1k8c;-1
3w5q;16
2b99;-1
4hdr;-1
1e6z;-1
2i0z;19
5i2f;-1
3ol5;10
2py7;-1
1ycf;-1
4idn;-1
4y0v;-1
4qms;6
3i0o;6
2uw4;6
4i9z;-1
3bbt;6
4h3a;-1
3kmc;-1
4xvr;11
3gwd;15
1e8x;-1
2x7t;18
2wu4;-1
4kuh;-1
2opp;17
3r7u;6
4iao;-1
2x2r;-1
3ex8;-1
4gbr;-1
4g6n;6
3sru;1
3sbh;18
2j4l;-1
2bmc;-1
3qfz;-1
4kfn;-1
4eh3;6
4zbr;-1
2pws;-1
4ap1;15
1pxg;8
2xdr;-1
3f7z;-1
1xqp;-1
1fg8;12
2lba;-1
3mkh;-1
1ih8;-1
3ixj;-1
4e8w;-1
4nv1;-1
3h0s;-1
1sn5;-1
4lnb;-1
2iyg;-1
1zm7;-1
3oe9;-1
1ju6;-1
2q7j;16
1gpn;-1
3mmf;18
3c13;6
4ckb;-1
3p6x;10
3amy;6
4ca6;-1
3o56;-1
3jwm;-1
4fda;11
4ggl;4
2xtz;-1
3mpj;-1
3dzd;-1
2hy8;6
2xnm;6
2fvj;16
4wf0;-1
2h2e;-1
4c04;-1
3b2e;-1
4ck3;2
4l1x;-1
2gby;-1
4iw8;20
2uzb;25
2xwe;-1
3oiu;11
4b52;-1
1boo;-1
2zrj;-1
1agw;6
4fv2;6
2d61;-1
2wot;6
3lin;-1
4g3f;6
2x97;-1
2zu8;-1
4g1f;-1
3dj4;-1
3x1d;-1
3lp0;17
1yxq;-1
1lbc;-1
5c2t;-1
3qx4;6
4v12;-1
4xli;6
2qg4;-1
4ez7;6
1u3w;21
1qzf;-1
2lfo;-1
2xda;11
1nue;-1
1asb;-1
4gts;-1
5bwc;-1
4jnq;15
1s3s;-1
4qtn;-1
3evc;11
2ieg;-1
4eux;0
3s87;-1
2p2b;-1
2cvu;-1
5da9;-1
3cis;-1
3dol;17
1idt;-1
3lxk;6
5koi;-1
2qz4;-1
3kjs;-1
3pcn;-1
1ihy;-1
2qo5;-1
2qc8;-1
2fja;-1
1h61;8
3cwq;-1
4iqk;-1
4b66;15
1lrl;11
4nyi;-1
5d5b;-1
1rx3;1
3ih0;-1
2zjw;6
4h4x;15
4cee;2
3d3x;-1
2amt;-1
4z64;-1
4i1i;-1
4xba;-1
3sqz;-1
4q93;-1
1kta;-1
4zqm;8
3sl8;-1
