5,6,7,8
1,5,0,0
2,6,0,0
3,7,0,0
4,8,0,0
1,6,0,0
2,5,0,0
2,7,0,0
3,6,0,0
3,8,0,0
4,7,0,0
4,5,0,0
1,8,0,0
9,10,11,12
5,9,0,0
6,10,0,0
7,11,0,0
8,12,0,0
5,10,0,0
6,9,0,0
6,11,0,0
7,10,0,0
7,12,0,0
8,11,0,0
8,9,0,0
5,12,0,0
13,14,15,16
9,13,0,0
10,14,0,0
11,15,0,0
12,16,0,0
9,14,0,0
10,13,0,0
10,15,0,0
11,14,0,0
11,16,0,0
12,15,0,0
12,13,0,0
9,16,0,0
17,18,19,20
13,17,0,0
14,18,0,0
15,19,0,0
16,20,0,0
13,18,0,0
14,17,0,0
14,19,0,0
15,18,0,0
15,20,0,0
16,19,0,0
16,17,0,0
13,20,0,0
21,22,23,24
17,21,0,0
18,22,0,0
19,23,0,0
20,24,0,0
17,22,0,0
18,21,0,0
18,23,0,0
19,22,0,0
19,24,0,0
20,23,0,0
20,21,0,0
17,24,0,0
